"Month","Passengers","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","log_Passengers","t","t_square"
1995-01-01,112,1,0,0,0,0,0,0,0,0,0,0,0,4.71849887129509,1,1
1995-02-01,118,0,1,0,0,0,0,0,0,0,0,0,0,4.77068462446567,2,4
1995-03-01,132,0,0,1,0,0,0,0,0,0,0,0,0,4.88280192258637,3,9
1995-04-01,129,0,0,0,1,0,0,0,0,0,0,0,0,4.85981240436167,4,16
1995-05-01,121,0,0,0,0,1,0,0,0,0,0,0,0,4.79579054559674,5,25
1995-06-01,135,0,0,0,0,0,1,0,0,0,0,0,0,4.90527477843843,6,36
1995-07-01,148,0,0,0,0,0,0,1,0,0,0,0,0,4.99721227376411,7,49
1995-08-01,148,0,0,0,0,0,0,0,1,0,0,0,0,4.99721227376411,8,64
1995-09-01,136,0,0,0,0,0,0,0,0,1,0,0,0,4.91265488573605,9,81
1995-10-01,119,0,0,0,0,0,0,0,0,0,1,0,0,4.77912349311153,10,100
1995-11-01,104,0,0,0,0,0,0,0,0,0,0,1,0,4.64439089914137,11,121
1995-12-01,118,0,0,0,0,0,0,0,0,0,0,0,1,4.77068462446567,12,144
1996-01-01,115,1,0,0,0,0,0,0,0,0,0,0,0,4.74493212836325,13,169
1996-02-01,126,0,1,0,0,0,0,0,0,0,0,0,0,4.83628190695148,14,196
1996-03-01,141,0,0,1,0,0,0,0,0,0,0,0,0,4.94875989037817,15,225
1996-04-01,135,0,0,0,1,0,0,0,0,0,0,0,0,4.90527477843843,16,256
1996-05-01,125,0,0,0,0,1,0,0,0,0,0,0,0,4.8283137373023,17,289
1996-06-01,149,0,0,0,0,0,1,0,0,0,0,0,0,5.00394630594546,18,324
1996-07-01,170,0,0,0,0,0,0,1,0,0,0,0,0,5.13579843705026,19,361
1996-08-01,170,0,0,0,0,0,0,0,1,0,0,0,0,5.13579843705026,20,400
1996-09-01,158,0,0,0,0,0,0,0,0,1,0,0,0,5.06259503302697,21,441
1996-10-01,133,0,0,0,0,0,0,0,0,0,1,0,0,4.89034912822175,22,484
1996-11-01,114,0,0,0,0,0,0,0,0,0,0,1,0,4.7361984483945,23,529
1996-12-01,140,0,0,0,0,0,0,0,0,0,0,0,1,4.9416424226093,24,576
1997-01-01,145,1,0,0,0,0,0,0,0,0,0,0,0,4.97673374242057,25,625
1997-02-01,150,0,1,0,0,0,0,0,0,0,0,0,0,5.01063529409626,26,676
1997-03-01,178,0,0,1,0,0,0,0,0,0,0,0,0,5.18178355029209,27,729
1997-04-01,163,0,0,0,1,0,0,0,0,0,0,0,0,5.09375020080676,28,784
1997-05-01,172,0,0,0,0,1,0,0,0,0,0,0,0,5.14749447681345,29,841
1997-06-01,178,0,0,0,0,0,1,0,0,0,0,0,0,5.18178355029209,30,900
1997-07-01,199,0,0,0,0,0,0,1,0,0,0,0,0,5.29330482472449,31,961
1997-08-01,199,0,0,0,0,0,0,0,1,0,0,0,0,5.29330482472449,32,1024
1997-09-01,184,0,0,0,0,0,0,0,0,1,0,0,0,5.21493575760899,33,1089
1997-10-01,162,0,0,0,0,0,0,0,0,0,1,0,0,5.08759633523238,34,1156
1997-11-01,146,0,0,0,0,0,0,0,0,0,0,1,0,4.98360662170834,35,1225
1997-12-01,166,0,0,0,0,0,0,0,0,0,0,0,1,5.11198778835654,36,1296
1998-01-01,171,1,0,0,0,0,0,0,0,0,0,0,0,5.14166355650266,37,1369
1998-02-01,180,0,1,0,0,0,0,0,0,0,0,0,0,5.19295685089021,38,1444
1998-03-01,193,0,0,1,0,0,0,0,0,0,0,0,0,5.26269018890489,39,1521
1998-04-01,181,0,0,0,1,0,0,0,0,0,0,0,0,5.19849703126583,40,1600
1998-05-01,183,0,0,0,0,1,0,0,0,0,0,0,0,5.20948615284142,41,1681
1998-06-01,218,0,0,0,0,0,1,0,0,0,0,0,0,5.38449506278909,42,1764
1998-07-01,230,0,0,0,0,0,0,1,0,0,0,0,0,5.4380793089232,43,1849
1998-08-01,242,0,0,0,0,0,0,0,1,0,0,0,0,5.48893772615669,44,1936
1998-09-01,209,0,0,0,0,0,0,0,0,1,0,0,0,5.34233425196481,45,2025
1998-10-01,191,0,0,0,0,0,0,0,0,0,1,0,0,5.25227342804663,46,2116
1998-11-01,172,0,0,0,0,0,0,0,0,0,0,1,0,5.14749447681345,47,2209
1998-12-01,194,0,0,0,0,0,0,0,0,0,0,0,1,5.26785815906333,48,2304
1999-01-01,196,1,0,0,0,0,0,0,0,0,0,0,0,5.27811465923052,49,2401
1999-02-01,196,0,1,0,0,0,0,0,0,0,0,0,0,5.27811465923052,50,2500
1999-03-01,236,0,0,1,0,0,0,0,0,0,0,0,0,5.46383180502561,51,2601
1999-04-01,235,0,0,0,1,0,0,0,0,0,0,0,0,5.45958551414416,52,2704
1999-05-01,229,0,0,0,0,1,0,0,0,0,0,0,0,5.43372200355424,53,2809
1999-06-01,243,0,0,0,0,0,1,0,0,0,0,0,0,5.49306144334055,54,2916
1999-07-01,264,0,0,0,0,0,0,1,0,0,0,0,0,5.57594910314632,55,3025
1999-08-01,272,0,0,0,0,0,0,0,1,0,0,0,0,5.605802066296,56,3136
1999-09-01,237,0,0,0,0,0,0,0,0,1,0,0,0,5.46806014113513,57,3249
1999-10-01,211,0,0,0,0,0,0,0,0,0,1,0,0,5.35185813347607,58,3364
1999-11-01,180,0,0,0,0,0,0,0,0,0,0,1,0,5.19295685089021,59,3481
1999-12-01,201,0,0,0,0,0,0,0,0,0,0,0,1,5.30330490805908,60,3600
2000-01-01,204,1,0,0,0,0,0,0,0,0,0,0,0,5.31811999384422,61,3721
2000-02-01,188,0,1,0,0,0,0,0,0,0,0,0,0,5.23644196282995,62,3844
2000-03-01,235,0,0,1,0,0,0,0,0,0,0,0,0,5.45958551414416,63,3969
2000-04-01,227,0,0,0,1,0,0,0,0,0,0,0,0,5.4249500174814,64,4096
2000-05-01,234,0,0,0,0,1,0,0,0,0,0,0,0,5.4553211153577,65,4225
2000-06-01,264,0,0,0,0,0,1,0,0,0,0,0,0,5.57594910314632,66,4356
2000-07-01,302,0,0,0,0,0,0,1,0,0,0,0,0,5.71042701737487,67,4489
2000-08-01,293,0,0,0,0,0,0,0,1,0,0,0,0,5.68017260901707,68,4624
2000-09-01,259,0,0,0,0,0,0,0,0,1,0,0,0,5.55682806169954,69,4761
2000-10-01,229,0,0,0,0,0,0,0,0,0,1,0,0,5.43372200355424,70,4900
2000-11-01,203,0,0,0,0,0,0,0,0,0,0,1,0,5.31320597904179,71,5041
2000-12-01,229,0,0,0,0,0,0,0,0,0,0,0,1,5.43372200355424,72,5184
2001-01-01,242,1,0,0,0,0,0,0,0,0,0,0,0,5.48893772615669,73,5329
2001-02-01,233,0,1,0,0,0,0,0,0,0,0,0,0,5.4510384535657,74,5476
2001-03-01,267,0,0,1,0,0,0,0,0,0,0,0,0,5.58724865840025,75,5625
2001-04-01,269,0,0,0,1,0,0,0,0,0,0,0,0,5.59471137960184,76,5776
2001-05-01,270,0,0,0,0,1,0,0,0,0,0,0,0,5.59842195899838,77,5929
2001-06-01,315,0,0,0,0,0,1,0,0,0,0,0,0,5.75257263882563,78,6084
2001-07-01,364,0,0,0,0,0,0,1,0,0,0,0,0,5.89715386763674,79,6241
2001-08-01,347,0,0,0,0,0,0,0,1,0,0,0,0,5.84932477994686,80,6400
2001-09-01,312,0,0,0,0,0,0,0,0,1,0,0,0,5.74300318780948,81,6561
2001-10-01,274,0,0,0,0,0,0,0,0,0,1,0,0,5.61312810638807,82,6724
2001-11-01,237,0,0,0,0,0,0,0,0,0,0,1,0,5.46806014113513,83,6889
2001-12-01,278,0,0,0,0,0,0,0,0,0,0,0,1,5.62762111369064,84,7056
2002-01-01,284,1,0,0,0,0,0,0,0,0,0,0,0,5.64897423816121,85,7225
2002-02-01,277,0,1,0,0,0,0,0,0,0,0,0,0,5.62401750618734,86,7396
2002-03-01,317,0,0,1,0,0,0,0,0,0,0,0,0,5.75890177387728,87,7569
2002-04-01,313,0,0,0,1,0,0,0,0,0,0,0,0,5.74620319054015,88,7744
2002-05-01,318,0,0,0,0,1,0,0,0,0,0,0,0,5.76205138278018,89,7921
2002-06-01,374,0,0,0,0,0,1,0,0,0,0,0,0,5.92425579741453,90,8100
2002-07-01,413,0,0,0,0,0,0,1,0,0,0,0,0,6.02344759296103,91,8281
2002-08-01,405,0,0,0,0,0,0,0,1,0,0,0,0,6.00388706710654,92,8464
2002-09-01,355,0,0,0,0,0,0,0,0,1,0,0,0,5.87211778947542,93,8649
2002-10-01,306,0,0,0,0,0,0,0,0,0,1,0,0,5.72358510195238,94,8836
2002-11-01,271,0,0,0,0,0,0,0,0,0,0,1,0,5.6021188208797,95,9025
2002-12-01,306,0,0,0,0,0,0,0,0,0,0,0,1,5.72358510195238,96,9216
