"Quarter","Sales","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","t"
"Q1_86",1734.82699966431,1,0,0,0,0,0,0,0,0,0,0,0,1
"Q2_86",2244.96099853516,0,1,0,0,0,0,0,0,0,0,0,0,2
"Q3_86",2533.80499267578,0,0,1,0,0,0,0,0,0,0,0,0,3
"Q4_86",2154.96299743652,0,0,0,1,0,0,0,0,0,0,0,0,4
"Q1_87",1547.81899642944,0,0,0,0,1,0,0,0,0,0,0,0,5
"Q2_87",2104.41199493408,0,0,0,0,0,1,0,0,0,0,0,0,6
"Q3_87",2014.3629989624,0,0,0,0,0,0,1,0,0,0,0,0,7
"Q4_87",1991.74699783325,0,0,0,0,0,0,0,1,0,0,0,0,8
"Q1_88",1869.04999923706,0,0,0,0,0,0,0,0,1,0,0,0,9
"Q2_88",2313.63199615479,0,0,0,0,0,0,0,0,0,1,0,0,10
"Q3_88",2128.31999969482,0,0,0,0,0,0,0,0,0,0,1,0,11
"Q4_88",2026.82899856567,0,0,0,0,0,0,0,0,0,0,0,1,12
"Q1_89",1910.60399627686,1,0,0,0,0,0,0,0,0,0,0,0,13
"Q2_89",2331.16499328613,0,1,0,0,0,0,0,0,0,0,0,0,14
"Q3_89",2206.54999542236,0,0,1,0,0,0,0,0,0,0,0,0,15
"Q4_89",2173.96799468994,0,0,0,1,0,0,0,0,0,0,0,0,16
"Q1_90",2148.27799987793,0,0,0,0,1,0,0,0,0,0,0,0,17
"Q2_90",2739.30799865723,0,0,0,0,0,1,0,0,0,0,0,0,18
"Q3_90",2792.75399780273,0,0,0,0,0,0,1,0,0,0,0,0,19
"Q4_90",2556.00999450684,0,0,0,0,0,0,0,1,0,0,0,0,20
"Q1_91",2480.97399902344,0,0,0,0,0,0,0,0,1,0,0,0,21
"Q2_91",3039.52299499512,0,0,0,0,0,0,0,0,0,1,0,0,22
"Q3_91",3172.11599731445,0,0,0,0,0,0,0,0,0,0,1,0,23
"Q4_91",2879.00099945068,0,0,0,0,0,0,0,0,0,0,0,1,24
"Q1_92",2772,1,0,0,0,0,0,0,0,0,0,0,0,25
"Q2_92",3550,0,1,0,0,0,0,0,0,0,0,0,0,26
"Q3_92",3508,0,0,1,0,0,0,0,0,0,0,0,0,27
"Q4_92",3243.85999298096,0,0,0,1,0,0,0,0,0,0,0,0,28
"Q1_93",3056,0,0,0,0,1,0,0,0,0,0,0,0,29
"Q2_93",3899,0,0,0,0,0,1,0,0,0,0,0,0,30
"Q3_93",3629,0,0,0,0,0,0,1,0,0,0,0,0,31
"Q4_93",3373,0,0,0,0,0,0,0,1,0,0,0,0,32
"Q1_94",3352,0,0,0,0,0,0,0,0,1,0,0,0,33
"Q2_94",4342,0,0,0,0,0,0,0,0,0,1,0,0,34
"Q3_94",4461,0,0,0,0,0,0,0,0,0,0,1,0,35
"Q4_94",4017,0,0,0,0,0,0,0,0,0,0,0,1,36
"Q1_95",3854,1,0,0,0,0,0,0,0,0,0,0,0,37
"Q2_95",4936,0,1,0,0,0,0,0,0,0,0,0,0,38
"Q3_95",4895,0,0,1,0,0,0,0,0,0,0,0,0,39
"Q4_95",4333,0,0,0,1,0,0,0,0,0,0,0,0,40
"Q1_96",4194,0,0,0,0,1,0,0,0,0,0,0,0,41
"Q2_96",5253,0,0,0,0,0,1,0,0,0,0,0,0,42
