"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @ThancmarFeldt: Artificial intelligence could help to translate critical Earth observation data • https://t.co/KT9Zx43abJ - https://t.co…",FALSE,0,NA,2019-09-23 13:16:12,FALSE,NA,"1176123099609292800",NA,"<a href=""https://sarojhumagain.com.np"" rel=""nofollow"">Twitter bot, saroj humagain</a>","msarozz",2,TRUE,FALSE,NA,NA
"2","RT @tianhuil: Are you ready to take your #python skills to the next level? @thedatainc's Advanced #MachineLearning #online course will teac…",FALSE,0,NA,2019-09-23 13:16:08,FALSE,NA,"1176123082307702784",NA,"<a href=""https://sarojhumagain.com.np"" rel=""nofollow"">Twitter bot, saroj humagain</a>","msarozz",2,TRUE,FALSE,NA,NA
"3","RT @blood_pac: The @blood_pac team is headed to #ESMO19 in Barcelona this week. Please drop us a line or come say hello if you will be ther…",FALSE,0,NA,2019-09-23 13:16:06,FALSE,NA,"1176123072597901312",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","curroortuno",3,TRUE,FALSE,NA,NA
"4","Data defined digital transformation https://t.co/cp1l8cWYyO #bigdata, #businessanalytics, #digitaltransformation, #ds #datascience",FALSE,0,NA,2019-09-23 13:16:00,FALSE,NA,"1176123048325505025",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","RichardEudes",0,FALSE,FALSE,NA,NA
"5","RT @machine_ml: RT @Nisarlkyaw: RT @SwissCognitive: #AIBest by @KirkDBorne 
https://t.co/0ukUaV4NQZ 
Top #AI Books for reading in 2019: htt…",FALSE,0,NA,2019-09-23 13:15:56,FALSE,NA,"1176123030042566656",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Hajer_Alqassimi",1,TRUE,FALSE,NA,NA
"6","RT @MikeQuindazzi: The journey from Reporting to #AI-enabled #BusinessIntelligence is a multi-step process &gt;&gt;&gt; @EckersonGroup via @MikeQuin…",FALSE,0,NA,2019-09-23 13:15:50,FALSE,NA,"1176123005795262464",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ServicesSilver",3,TRUE,FALSE,NA,NA
"7","RT @gp_pulipaka: Free eBook: The Definitive Guide To #MachineLearning Platforms via @gp_pulipaka. #BigData #Analytics #DataScience
#AI #IoT…",FALSE,0,NA,2019-09-23 13:15:45,FALSE,NA,"1176122983498309632",NA,"<a href=""http://www.ic-service.by/"" rel=""nofollow"">Maxim Lyashko</a>","Max_Lyashko",8,TRUE,FALSE,NA,NA
"8","RT @gp_pulipaka: Free eBook: Foundations of Data Science and Mathematics. #BigData #Analytics #DataScience #AI #IoT #IIoT #PyTorch #Python…",FALSE,0,NA,2019-09-23 13:15:43,FALSE,NA,"1176122974639988736",NA,"<a href=""http://www.ic-service.by/"" rel=""nofollow"">Maxim Lyashko</a>","Max_Lyashko",10,TRUE,FALSE,NA,NA
"9","RT @enricomolinari: The essential 8 #tech for Outlook 2020 #Megatrends TY @pwc via @enricomolinari

#AI #IoT #robot #blockchain #finserv #d…",FALSE,0,NA,2019-09-23 13:15:36,FALSE,NA,"1176122947725070337",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Hajer_Alqassimi",10,TRUE,FALSE,NA,NA
"10","RT @gp_pulipaka: Impact on Chromatin and Histone Modification. #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #PyTorch #P…",FALSE,0,NA,2019-09-23 13:15:34,FALSE,NA,"1176122936459235329",NA,"<a href=""http://www.ic-service.by/"" rel=""nofollow"">Maxim Lyashko</a>","Max_Lyashko",9,TRUE,FALSE,NA,NA
"11","RT @dyjh: .@DataRobot DataRobot Becomes A Unicorn By Selling #AI Toolkits To Harried Data Scientists #DataScience #MachineLearning https://…",FALSE,0,NA,2019-09-23 13:15:15,FALSE,NA,"1176122857010548736",NA,"<a href=""http://decotiismauro.ml"" rel=""nofollow"">akdm_DS_bot</a>","akdm_bot",2,TRUE,FALSE,NA,NA
"12","RT @ThancmarFeldt: Artificial intelligence could help to translate critical Earth observation data • https://t.co/KT9Zx43abJ - https://t.co…",FALSE,0,NA,2019-09-23 13:15:12,FALSE,NA,"1176122847976198145",NA,"<a href=""http://app.com"" rel=""nofollow"">App roaring brain</a>","BrainRoaring",2,TRUE,FALSE,NA,NA
"13","RT @gp_pulipaka: Free eBook: The Definitive Guide To #MachineLearning Platforms via @gp_pulipaka. #BigData #Analytics #DataScience
#AI #IoT…",FALSE,0,NA,2019-09-23 13:15:05,FALSE,NA,"1176122815558369280",NA,"<a href=""https://wynandbooysen.com"" rel=""nofollow"">Wynand 2.0</a>","wynandbooysen",8,TRUE,FALSE,NA,NA
"14","En @rockingdata creemos que es el momento en que #DataScience puede ayudar a la industria de Salud a definir sus he… https://t.co/7cVaU37VJE",FALSE,0,NA,2019-09-23 13:14:49,TRUE,NA,"1176122749804273665",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","fredidavidvivas",0,FALSE,FALSE,NA,NA
"15","RT @AISOMA_AG: Useful Comparison Tables for #AI, #DataScience, #IoT &amp; #CloudComputing 

#MachineLearning 

@ipfconline1 @KirkDBorne @Ronald…",FALSE,0,NA,2019-09-23 13:14:40,FALSE,NA,"1176122713926184960",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Hajer_Alqassimi",15,TRUE,FALSE,NA,NA
"16","RT @gp_pulipaka: Free eBook: The Definitive Guide To #MachineLearning Platforms via @gp_pulipaka. #BigData #Analytics #DataScience
#AI #IoT…",FALSE,0,NA,2019-09-23 13:14:26,FALSE,NA,"1176122655222706178",NA,"<a href=""http://127.0.0.1"" rel=""nofollow"">rstatsretweetingtool</a>","rstatstweet",8,TRUE,FALSE,NA,NA
"17","RT @KirkDBorne: 24 #Python libraries for every Python developer — Web apps, web crawling, database access, GUI creation, parsing, image pro…",FALSE,0,NA,2019-09-23 13:14:26,FALSE,NA,"1176122653695971328",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","jmmarreiros",87,TRUE,FALSE,NA,NA
"18","Artificial intelligence could help to translate critical Earth observation data • https://t.co/KT9Zx43abJ -… https://t.co/T4E53gOVzF",FALSE,0,NA,2019-09-23 13:14:16,TRUE,NA,"1176122610297581568",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","ThancmarFeldt",2,FALSE,FALSE,NA,NA
"19","RT @Rbloggers: PDF Scraping in R with tabulizer  {https://t.co/TWec3S5adZ} #rstats #DataScience",FALSE,0,NA,2019-09-23 13:14:15,FALSE,NA,"1176122606136643585",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pulido_amalia",16,TRUE,FALSE,NA,NA
"20","RT @KirkDBorne: Download this eBook (47-page PDF) — The #Mathematics needed for an introductory class in #MachineLearning: https://t.co/gna…",FALSE,0,NA,2019-09-23 13:14:12,FALSE,NA,"1176122594992558080",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mi_CastroLopes",221,TRUE,FALSE,NA,NA
"21","RT @SwissCognitive: #AIBest by @KirkDBorne 
https://t.co/z3V1HH4mJA 
40+ Techniques and #Algorithms used by #DataScientists, with links to…",FALSE,0,NA,2019-09-23 13:14:06,FALSE,NA,"1176122569084170240",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","prash_davey",8,TRUE,FALSE,NA,NA
"22","RT @tianhuil: Are you ready to take your #python skills to the next level? @thedatainc's Advanced #MachineLearning #online course will teac…",FALSE,0,NA,2019-09-23 13:13:48,FALSE,NA,"1176122493972766720",NA,"<a href=""https://seetalabs.com"" rel=""nofollow"">Tweet1425526</a>","SeetaLabs",2,TRUE,FALSE,NA,NA
"23","RT @KirkDBorne: Download this eBook (47-page PDF) — The #Mathematics needed for an introductory class in #MachineLearning: https://t.co/gna…",FALSE,0,NA,2019-09-23 13:13:47,FALSE,NA,"1176122488939569153",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","jmcastagnetto",221,TRUE,FALSE,NA,NA
"24","RT @thedatainc: Are you ready to take your #python skills to the next level? Our Advanced #MachineLearning #online course will teach sophis…",FALSE,0,NA,2019-09-23 13:13:42,FALSE,NA,"1176122468093681664",NA,"<a href=""https://seetalabs.com"" rel=""nofollow"">Tweet1425526</a>","SeetaLabs",1,TRUE,FALSE,NA,NA
"25","RT @IAM__Network: IAM Platform Curated Tweet:

Big Data Services Market : Competitive Dynamics &amp; Global Outlook 2019 – Analytics News 

htt…",FALSE,0,NA,2019-09-23 13:13:30,FALSE,NA,"1176122416671711239",NA,"<a href=""https://twitter.com/TechnoJederBig"" rel=""nofollow"">TechnorBot</a>","TechnoJederBig",1,TRUE,FALSE,NA,NA
"26","RT @FrRonconi: What is #ArtificialIntelligence and where is it going?
https://t.co/PmmohQtgXi by @M_Hellmann v/ @seattletimes

#AI #Machine…",FALSE,0,NA,2019-09-23 13:13:23,FALSE,NA,"1176122389244993538",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VivekGhosal",1,TRUE,FALSE,NA,NA
