"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Bunty weds Sweety Part 
RoyalWedding BBdubs",FALSE,0,NA,2019-09-23 16:11:48,FALSE,NA,"1176167290515021824",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Himel07",2151,TRUE,FALSE,NA,NA
"Champagne gold bridal hand fan 
bridalhandfan msasoebi bellanaijaweddings bridalfansbridalfanworld",FALSE,0,NA,2019-09-23 15:52:38,FALSE,NA,"1176162466574798853",NA,"<a href=""http://twitter.com"" rel=""nofollow"">bridetobexoxo to zveil 1</a>","bridetobexoxo",1,TRUE,FALSE,NA,NA
"Champagne gold bridal hand fan 
bridalhandfan msasoebi bellanaijaweddings bridalfans",FALSE,0,NA,2019-09-23 15:26:27,TRUE,NA,"1176155875263811584",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","arinolaanu",1,FALSE,FALSE,"7.022346","4.886286"
"Hashtags on Twitter can also be used to join in with broader conversations around big events like the RoyalWedding",FALSE,0,NA,2019-09-23 14:42:01,TRUE,NA,"1176144694671216641",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","Stroud_WDYT",0,FALSE,FALSE,NA,NA
"My wedding weekend was absolutely perfectfar exceeded my expectations on this one Now lets get",FALSE,26,NA,2019-09-23 13:19:40,TRUE,NA,"1176123970854293504",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i<U+039F>S</a>","mpoole3",0,FALSE,FALSE,NA,NA
"Designer silk safa for barati or wedding procession For business inquiries start your conversation at",FALSE,0,NA,2019-09-23 12:45:44,TRUE,NA,"1176115430630445057",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ShahiPagdi",0,FALSE,FALSE,NA,NA
"Bunty weds Sweety Part 
RoyalWedding BBdubs",FALSE,0,NA,2019-09-23 11:58:45,FALSE,NA,"1176103606556082176",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","priyangshee1",2151,TRUE,FALSE,NA,NA
"Customized red two tone wand bridal hand fan off to USA 
bridalhandfan asoebispecialtwotonehandfan",FALSE,0,NA,2019-09-23 11:50:23,TRUE,NA,"1176101499639947265",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","arinolaanu",0,FALSE,FALSE,"3.38760781","6.45627575"
"One prince One rockstar One night in Vegas NOT YOUR KNIGHT IN SHINING ARMOUR is out now",FALSE,0,NA,2019-09-23 11:00:00,TRUE,NA,"1176088821332697089",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","K8JohnsonAuthor",0,FALSE,FALSE,NA,NA
"Hashtags on Twitter can also be used to join in with broader conversations around big events like the RoyalWedding",FALSE,1,NA,2019-09-23 10:25:01,TRUE,NA,"1176080018822311937",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","Cheltenham_WDYT",0,FALSE,FALSE,NA,NA
"Customized bridal hand fan 
bridalhandfanhandfaninlagosclutchhandfanelegantfan",FALSE,0,NA,2019-09-23 10:11:22,TRUE,NA,"1176076580944265216",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","arinolaanu",0,FALSE,FALSE,"3.38749","6.45826"
"Silver Grey Wedding Veils  From Fast Delivery 
 etsyshop EtsySocial weddings bridal Br",FALSE,0,NA,2019-09-23 09:25:38,FALSE,NA,"1176065073107873792",NA,"<a href=""https://www.botlibre.com"" rel=""nofollow"">Bot Libre!</a>","etsygroupboard",1,TRUE,FALSE,NA,NA
"Silver Grey Wedding Veils  From Fast Delivery 
 etsyshop EtsySocial weddings",FALSE,1,NA,2019-09-23 09:15:07,TRUE,NA,"1176062429203222529",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","saleslbveils",1,FALSE,FALSE,NA,NA
"Joe Morton inspired in his role as a preacher by Rev Michael Curry and the RoyalWedding SussexOnTV ",FALSE,0,NA,2019-09-23 07:09:05,FALSE,NA,"1176030708080500736",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","February1316",7,TRUE,FALSE,NA,NA
"Joe Morton inspired in his role as a preacher by Rev Michael Curry and the RoyalWedding SussexOnTV ",FALSE,0,NA,2019-09-23 06:41:20,FALSE,NA,"1176023724950216705",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shademae1",7,TRUE,FALSE,NA,NA
"She remembers that night she just wont regret that night for the rest of her days NOT YOUR KNIGHT IN SHINING A",FALSE,0,NA,2019-09-23 06:00:41,TRUE,NA,"1176013494510112769",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","K8JohnsonAuthor",0,FALSE,FALSE,NA,NA
"Bunty weds Sweety Part 
RoyalWedding BBdubs",FALSE,0,NA,2019-09-23 05:04:36,FALSE,NA,"1175999383248048129",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VijayGold2",2151,TRUE,FALSE,NA,NA
"When you photograph people in color you photograph their clothes But when you photograph people in Black and whit",FALSE,0,NA,2019-09-23 03:50:51,TRUE,NA,"1175980822391689216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Raw4everin",0,FALSE,FALSE,NA,NA
"Favorite Royal Wedding 
CatherineMiddleton DuchessofCambridge PrinceWilliam DukeofCambridge RoyalWedding RoyalF",FALSE,0,NA,2019-09-23 03:44:15,FALSE,NA,"1175979161468358657",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Fuckinghell888",17,TRUE,FALSE,NA,NA
"The Queen attends the wedding of Thomas Kingston and Lady Gabriella Windsor Royalsroyalwedding Windso",FALSE,0,NA,2019-09-23 03:43:19,FALSE,NA,"1175978929087057920",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Fuckinghell888",76,TRUE,FALSE,NA,NA
"The best and most beautiful things in this world cannot be seen or even heard but must be felt with the heart ",FALSE,1,NA,2019-09-23 03:42:10,TRUE,NA,"1175978636525985798",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Raw4everin",0,FALSE,FALSE,NA,NA
"Ready for MemorialDayWeekend with pockethuggie in my Etsy shopbeer Coffee MemorialDay USA st",FALSE,0,NA,2019-09-23 03:30:06,FALSE,NA,"1175975602547023872",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PilarMahl",8,TRUE,FALSE,NA,NA
"Excited to share from my etsy shop Ecofriendly Beverage Insulators BridalParty Set PocketHuggiesSIZES Brides TheKn",FALSE,0,NA,2019-09-23 00:43:09,FALSE,NA,"1175933586576482305",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PilarMahl",11,TRUE,FALSE,NA,NA
"Allare so beautiful Which was your favorite RoyalWedding",FALSE,0,NA,2019-09-23 00:32:11,FALSE,NA,"1175930824740524033",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","lilmissxkupkak6",565,TRUE,FALSE,NA,NA
"Repost 

News SussexRoyaltour is here
All the best HarryMeghan 
DuchessOfSussex Suss",FALSE,0,NA,2019-09-23 00:27:53,FALSE,NA,"1175929743138611200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","darcy_mcrae",5,TRUE,FALSE,NA,NA
"Repost 

News SussexRoyaltour is here
All the best HarryMeghan 
DuchessOfSussex Suss",FALSE,0,NA,2019-09-23 00:15:49,FALSE,NA,"1175926708601610240",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ilona84010600",5,TRUE,FALSE,NA,NA
"Joe Morton inspired in his role as a preacher by Rev Michael Curry and the RoyalWedding SussexOnTV ",FALSE,0,NA,2019-09-23 00:03:37,FALSE,NA,"1175923639423602688",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gina_asada",7,TRUE,FALSE,NA,NA
"Joe Morton inspired in his role as a preacher by Rev Michael Curry and the RoyalWedding SussexOnTV ",FALSE,0,NA,2019-09-22 23:39:10,FALSE,NA,"1175917486669275140",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ms_opinion",7,TRUE,FALSE,NA,NA
"Joe Morton inspired in his role as a preacher by Rev Michael Curry and the RoyalWedding SussexOnTV ",FALSE,0,NA,2019-09-22 22:56:35,FALSE,NA,"1175906766669979648",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","freepeeper",7,TRUE,FALSE,NA,NA
"Joe Morton inspired in his role as a preacher by Rev Michael Curry and the RoyalWedding SussexOnTV ",FALSE,0,NA,2019-09-22 22:50:55,FALSE,NA,"1175905342217248770",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","micheleer3",7,TRUE,FALSE,NA,NA
"Joe Morton inspired in his role as a preacher by Rev Michael Curry and the RoyalWedding SussexOnTV ",FALSE,0,NA,2019-09-22 22:36:08,FALSE,NA,"1175901621844369408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TatiNV1",7,TRUE,FALSE,NA,NA
